id,true_freq_hz,waveform,amplitude,snr_db,est_freq_hz,error_pct,success,iterations,elapsed_ms
1203,25449.16,triangle,0.2519,37.08,25561.52,0.441539,1,12,13.47
1204,2309.65,square,0.7925,38.70,2431.64,5.281667,1,195,154.70
1205,91011.01,triangle,0.8994,23.98,91093.75,0.090910,1,9,11.56
1206,29134.25,sine,0.4393,27.87,29218.75,0.290053,1,9,11.82
1207,54910.98,sine,0.7221,23.35,54946.29,0.064308,1,20,21.33
1208,31720.54,square,0.8168,34.79,31821.29,0.317615,1,18,23.69
1209,64907.90,sine,0.5923,21.75,65039.06,0.202073,1,1,1.13
1210,38358.95,square,0.1358,25.48,38408.20,0.128389,1,19,26.06
1211,95609.30,triangle,0.4171,20.86,95605.47,0.004004,1,5,5.08
1212,18730.40,square,0.9530,22.82,18852.54,0.652095,1,10,10.49
1213,76588.07,sine,0.9831,27.63,76684.57,0.126001,1,12,10.48
1214,77748.22,square,0.6649,23.84,77783.20,0.044996,1,7,11.12
1215,15456.08,triangle,0.9259,37.75,15556.64,0.650616,1,7,8.82
1216,62917.91,triangle,0.1621,26.70,63051.76,0.212732,1,12,12.68
1217,32056.61,square,0.4204,22.97,32099.61,0.134138,1,15,20.24
1218,60050.24,triangle,0.4439,22.65,60156.25,0.176535,1,9,9.27
1219,20472.13,sine,0.3699,32.86,20566.41,0.460503,1,37,38.09
1220,60493.60,triangle,0.4263,36.48,60498.05,0.007346,1,7,8.09
1221,21204.68,square,0.8208,23.60,21264.65,0.282815,1,26,38.01
1222,11876.45,triangle,0.4086,33.68,11997.07,1.015641,1,10,12.03
1223,3509.51,triangle,0.3845,21.11,3530.27,0.591581,1,120,107.82
1224,61371.46,sine,0.4481,21.61,61425.78,0.088507,1,21,22.19
1225,15569.16,sine,0.1808,38.22,15688.48,0.766353,1,4,4.52
1226,1598.66,square,0.2109,26.15,1669.92,4.457778,1,247,180.39
1227,92679.90,sine,0.9692,24.12,92680.66,0.000828,1,28,29.94
1228,74415.04,square,0.8960,31.08,74536.13,0.162720,1,6,9.01
1229,53921.36,sine,0.2496,38.33,54038.09,0.216469,1,4,4.35
1230,33455.98,square,0.7838,26.78,33530.27,0.222058,1,34,39.69
1231,95254.18,triangle,0.6377,37.62,95336.91,0.086854,1,6,6.17
1232,5910.98,sine,0.5185,24.54,6005.86,1.605053,1,115,94.15
1233,74646.61,triangle,0.4814,26.84,74746.09,0.133268,1,5,5.98
1234,96193.52,square,0.5401,27.03,96220.70,0.028256,1,27,43.06
1235,91045.30,square,0.7860,36.24,91093.75,0.053217,1,9,14.67
1236,34843.06,square,0.8636,27.27,34863.28,0.058049,1,21,30.21
1237,79599.58,triangle,0.6609,34.83,79633.79,0.042979,1,14,13.03
1238,80704.63,triangle,0.4555,21.03,80781.25,0.094934,1,9,8.11
1239,40785.75,triangle,0.5053,34.98,40893.55,0.264317,1,26,28.09
1240,36341.26,square,0.2678,34.99,36401.37,0.165395,1,6,8.25
1241,55023.90,sine,0.3627,34.97,55107.42,0.151790,1,19,16.42
1242,48777.52,sine,0.9705,34.30,48852.54,0.153794,1,16,13.85
1243,95756.35,square,0.5276,37.96,95874.02,0.122890,1,4,5.42
1244,52979.88,triangle,0.3270,28.93,53012.70,0.061930,1,32,33.25
1245,13221.54,sine,0.1008,20.79,13315.43,0.710152,1,58,51.65
1246,97751.10,sine,0.6970,36.78,97822.27,0.072804,1,43,43.44
1247,55515.39,sine,0.7553,32.01,55590.82,0.135881,1,16,14.06
1248,73393.81,triangle,0.9779,31.47,73486.33,0.126059,1,11,12.06
1249,34822.47,square,0.1616,37.95,34863.28,0.117198,1,21,36.27
1250,12818.72,sine,0.8342,31.95,12919.92,0.789484,1,67,78.12
1251,39969.92,square,0.8691,26.80,40092.77,0.307373,1,4,54.77
1252,87095.32,sine,0.7991,36.95,87158.20,0.072202,1,11,9.05
1253,18999.95,square,0.2489,34.13,19121.09,0.637613,1,5,5.46
1254,53999.43,square,0.2768,24.23,54038.09,0.071588,1,4,5.43
1255,5108.24,sine,0.6038,37.16,5273.44,3.234038,1,1,0.87
