id,true_freq_hz,waveform,amplitude,snr_db,est_freq_hz,error_pct,success,iterations,elapsed_ms
1184,14756.55,triangle,0.4875,22.38,14853.52,0.657071,1,23,19.68
1185,10735.46,square,0.4373,32.43,10869.14,1.245191,1,43,39.78
1186,14655.64,sine,0.1320,39.89,14765.62,0.750433,1,25,26.87
1187,5421.84,sine,0.2709,20.78,5493.16,1.315521,1,136,115.10
1188,8444.41,triangle,0.4071,28.88,8544.92,1.190313,1,11,9.64
1189,13836.15,square,0.8753,37.32,13930.66,0.683105,1,44,46.08
1190,1188.30,triangle,0.5147,39.78,,,0,260,187.95
1191,10181.41,triangle,0.7791,24.97,10253.91,0.712051,1,61,56.15
1192,11229.50,triangle,0.8718,21.95,11347.66,1.052154,1,29,31.27
1193,14421.07,square,0.1063,28.07,14501.95,0.560882,1,31,40.33
1194,5460.33,triangle,0.4036,36.55,5517.58,1.048363,1,135,123.41
1195,1011.36,sine,0.3170,24.67,,,0,260,177.87
1196,2295.55,sine,0.6000,25.83,2387.70,4.014276,1,198,147.18
1197,8930.50,square,0.8883,38.11,9023.44,1.040665,1,97,98.71
1198,10366.18,sine,0.1961,39.07,10458.98,0.895237,1,55,51.35
1199,2144.31,sine,0.3683,26.41,2241.21,4.518885,1,208,153.40
1200,4121.45,triangle,0.2102,32.70,4145.51,0.583722,1,78,69.57
1201,3353.07,sine,0.9185,23.80,3500.98,4.410939,1,122,102.13
1202,16603.75,square,0.1701,39.11,16704.10,0.604373,1,50,56.10
1203,5692.26,triangle,0.2519,37.08,5761.72,1.220193,1,125,103.14
1204,1251.35,square,0.7925,38.70,,,0,260,168.84
1205,18274.84,triangle,0.8994,23.98,18369.14,0.516010,1,19,21.31
1206,6399.50,sine,0.4393,27.87,6494.14,1.478850,1,95,87.87
1207,11346.55,sine,0.7221,23.35,11450.20,0.913442,1,26,23.18
1208,6895.86,square,0.8168,34.79,7006.84,1.609295,1,74,79.28
1209,13265.15,sine,0.5923,21.75,13359.38,0.710299,1,57,56.52
1210,8169.90,square,0.1358,25.48,8300.78,1.601989,1,21,27.18
1211,19157.34,triangle,0.4171,20.86,19282.23,0.651900,1,2,1.70
1212,4402.80,square,0.9530,22.82,4628.91,5.135418,1,45,50.30
1213,15506.80,sine,0.9831,27.63,15600.59,0.604799,1,6,5.29
1214,15729.46,square,0.6649,23.84,15820.31,0.577619,1,1,1.64
1215,3774.40,triangle,0.9259,37.75,3793.95,0.517856,1,102,96.79
1216,12883.24,triangle,0.1621,26.70,12963.87,0.625865,1,66,57.79
1217,6960.36,square,0.4204,22.97,7080.08,1.720008,1,71,77.67
1218,12332.87,triangle,0.4439,22.65,12436.52,0.840429,1,78,65.39
1219,4737.08,sine,0.3699,32.86,4951.17,4.519584,1,23,22.90
1220,12417.96,triangle,0.4263,36.48,12480.47,0.503340,1,77,79.00
1221,4877.67,square,0.8208,23.60,5126.95,5.110797,1,11,14.29
1222,3087.40,triangle,0.4086,33.68,3105.47,0.585269,1,149,128.96
1223,1481.62,triangle,0.3845,21.11,1479.49,0.143849,1,260,175.95
1224,12586.44,sine,0.4481,21.61,12656.25,0.554625,1,73,63.92
1225,3796.10,sine,0.1808,38.22,3969.73,4.573765,1,90,76.88
1226,1114.89,square,0.2109,26.15,,,0,260,182.22
1227,18595.13,sine,0.9692,24.12,18691.41,0.517741,1,13,13.52
1228,15089.76,square,0.8960,31.08,15205.08,0.764241,1,15,19.65
1229,11156.63,sine,0.2496,38.33,11279.30,1.099541,1,31,33.33
1230,7228.93,square,0.7838,26.78,7348.63,1.655945,1,60,62.68
1231,19089.19,triangle,0.6377,37.62,19174.80,0.448517,1,4,5.23
1232,1942.51,sine,0.5185,24.54,2021.48,4.065463,1,223,155.92
1233,15134.20,triangle,0.4814,26.84,15249.02,0.758711,1,14,14.33
1234,19269.46,square,0.5401,27.03,19335.94,0.344969,1,1,1.05
1235,18281.42,square,0.7860,36.24,18369.14,0.479829,1,19,20.48
1236,7495.13,square,0.8636,27.27,7617.19,1.628466,1,49,63.86
1237,16084.77,triangle,0.6609,34.83,16166.99,0.511196,1,60,53.94
1238,16296.85,triangle,0.4555,21.03,16381.84,0.521494,1,56,61.78
1239,8635.65,triangle,0.5053,34.98,8740.23,1.211087,1,3,3.67
1240,7782.67,square,0.2678,34.99,7910.16,1.638129,1,37,45.25
1241,11368.22,sine,0.3627,34.97,11484.38,1.021722,1,25,29.52
1242,10169.42,sine,0.9705,34.30,10253.91,0.830753,1,61,64.12
